"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"5611","RT @Cernovich: The Green New Deal mindset shut down domestic energy production. No nuclear energy. No fracking. No keystone pipeline. It wa…",FALSE,0,NA,2022-02-24 18:28:02,FALSE,NA,"1496914835845664771",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","WarriorMentor",1964,TRUE,FALSE,NA,NA
"5612","RT @Cernovich: The Green New Deal mindset shut down domestic energy production. No nuclear energy. No fracking. No keystone pipeline. It wa…",FALSE,0,NA,2022-02-24 18:28:02,FALSE,NA,"1496914833081450498",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AZpuppymom",1964,TRUE,FALSE,NA,NA
"5613","RT @Cernovich: The Green New Deal mindset shut down domestic energy production. No nuclear energy. No fracking. No keystone pipeline. It wa…",FALSE,0,NA,2022-02-24 18:28:00,FALSE,NA,"1496914824294387732",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Jshall58",1964,TRUE,FALSE,NA,NA
"5614","RT @TheUSASingers: The Green New Deal, implemented worldwide, would bankrupt Putin once and for all.",FALSE,0,NA,2022-02-24 18:27:55,FALSE,NA,"1496914802924560384",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","cliveboyce77",94,TRUE,FALSE,NA,NA
"5615","AOC ""authored"" a feel-good Green New Deal proposal without any proposals in it while one of her first votes in Cong… https://t.co/3xcUq81I9i",FALSE,0,NA,2022-02-24 18:27:41,TRUE,NA,"1496914744623898624",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","usrn_ame",0,FALSE,FALSE,NA,NA
"5616","RT @Cernovich: The Green New Deal mindset shut down domestic energy production. No nuclear energy. No fracking. No keystone pipeline. It wa…",FALSE,0,NA,2022-02-24 18:27:38,FALSE,NA,"1496914735500972046",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","FrenchieFrench7",1964,TRUE,FALSE,NA,NA
"5617","RT @Cernovich: The Green New Deal mindset shut down domestic energy production. No nuclear energy. No fracking. No keystone pipeline. It wa…",FALSE,0,NA,2022-02-24 18:27:31,FALSE,NA,"1496914703116816384",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rocksauce22",1964,TRUE,FALSE,NA,NA
"5618","Biden thinks he can use ALLIES, we have NONE! People look how he turned his back on Allies in Afghanistan and now t… https://t.co/XmbTRlFr4v",FALSE,0,NA,2022-02-24 18:27:00,TRUE,NA,"1496914572489510914",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Michael84900975",0,FALSE,FALSE,NA,NA
"5619","RT @Cernovich: The Green New Deal mindset shut down domestic energy production. No nuclear energy. No fracking. No keystone pipeline. It wa…",FALSE,0,NA,2022-02-24 18:26:52,FALSE,NA,"1496914540470030338",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Shanahad",1964,TRUE,FALSE,NA,NA
"5620","RT @MichaelDeLauzon: Every time you buy gasoline you are paying for Biden’s Green New Deal and Climate (money laundering) Change.",FALSE,0,NA,2022-02-24 18:26:50,FALSE,NA,"1496914532266123273",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","ManBehindCurta1",21,TRUE,FALSE,NA,NA
"5621","RT @TheUSASingers: The Green New Deal, implemented worldwide, would bankrupt Putin once and for all.",FALSE,0,NA,2022-02-24 18:26:50,FALSE,NA,"1496914532148686850",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mebennui",94,TRUE,FALSE,NA,NA
"5622","RT @JooBilly: When people ask why I’m worried about the possibility of a Green New Deal to simply become the latest vehicle for green imper…",FALSE,0,NA,2022-02-24 18:26:49,FALSE,NA,"1496914530072363008",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","AprilAnson",3,TRUE,FALSE,NA,NA
"5623","RT @PatriotBroker: Imagine having a platform so bad (green new deal) that you have to torture or even bankrupt families to comply.

Liberal…",FALSE,0,NA,2022-02-24 18:26:12,FALSE,NA,"1496914372228272128",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","PaulConfer",2,TRUE,FALSE,NA,NA
"5624","RT @theodorejay: Almost a year later and Varney is still lying about there being a Green New Deal in effect https://t.co/9pTJDhqaEK",FALSE,0,NA,2022-02-24 18:25:50,FALSE,NA,"1496914281551511554",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","iTweetyNerd",2,TRUE,FALSE,NA,NA
